x,y
"101,2004,1037,13548,10469,9714,24241,102,0,0,0,0,0,0,0",0
"101,16481,2320,2153,2002,2038,1050,1005,1056,2439,2010,3543,1010,5026,102",1
"101,10520,2015,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,1996,22812,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,1037,8494,10362,22055,2007,6703,5053,2004,14954,2004,2151,8040,5668,102",1
"101,2116,23100,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,1037,17950,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,9530,18886,7178,1010,2092,1011,6247,8146,102,0,0,0,0,0",0
"101,1037,2079,2050,102,0,0,0,0,0,0,0,0,0,0",0
"101,3532,3841,28557,2102,2071,1050,1005,1056,2424,2732,9527,2065,4949,102",0
"101,2000,2022,2004,11259,1998,7244,2004,1996,2365,1005,1055,2282,102,0",1
"101,4627,2007,1037,5722,102,0,0,0,0,0,0,0,0,0",1
"101,2521,2625,12138,1998,102,0,0,0,0,0,0,0,0,0",0
"101,4138,9607,1997,6057,4933,1999,2023,3185,102,0,0,0,0,0",1
"101,2053,6835,6569,102,0,0,0,0,0,0,0,0,0,0",0
"101,2915,2006,9200,3617,2678,102,0,0,0,0,0,0,0,0",0
"101,1012,1012,1012,1037,14768,2210,3185,2012,2049,4563,1025,2019,8993,102",0
"101,2295,4811,1998,7663,3385,6178,8231,2907,2256,3037,1010,2021,2049,102",0
"101,2003,3492,9636,6057,1012,102,0,0,0,0,0,0,0,0",1
"101,2057,2196,2514,2505,2005,2122,3494,102,0,0,0,0,0,0",0
"101,1005,1055,1037,10223,6508,2028,2012,2008,102,0,0,0,0,0",0
"101,1996,5971,9661,2008,2003,1996,3405,3068,1999,1996,2783,4785,1997,102",0
"101,1996,22628,2024,17374,2362,8301,10270,18083,2100,1010,1996,12047,25430,102",1
"101,1997,1996,2087,3811,1011,5868,10520,2015,1045,102,0,0,0,0",0
"101,4165,2066,1037,10311,17575,3344,2041,2011,2273,1997,14785,4454,1010,102",0
"101,4025,4840,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,2000,1996,6497,8428,1997,2381,102,0,0,0,0,0,0,0",0
"101,2004,1037,2472,1010,24201,2003,2125,2010,2208,102,0,0,0,0",0
"101,12778,17300,14822,2000,2735,2696,16558,5130,102,0,0,0,0,0",1
"101,5410,1998,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,13558,2023,2852,11012,1010,102,0,0,0,0,0,0,0,0",0
"101,3397,2200,2261,11680,1998,2130,2625,20096,102,0,0,0,0,0",0
"101,2143,2000,21358,27972,2293,1005,1055,2373,2000,2393,2111,18094,2471,102",1
"101,2024,2019,7619,6569,102,0,0,0,0,0,0,0,0,0",1
"101,19421,102,0,0,0,0,0,0,0,0,0,0,0,0",1
"101,1010,2066,2166,1010,2003,1050,1005,1056,2172,4569,2302,1996,26836,102",1
"101,2241,2006,1037,2995,1998,7145,3278,2466,102,0,0,0,0,0",1
"101,2092,1011,8352,7050,102,0,0,0,0,0,0,0,0,0",1
"101,1010,2295,2116,1997,1996,5889,5466,2125,1037,12125,2030,2048,2043,102",0
"101,2061,2172,2066,1037,2402,2728,7939,9711,102,0,0,0,0,0",1
"101,1047,6806,9496,9020,1010,2007,27547,22012,1010,2000,2562,1996,28800,102",1
"101,4827,2075,2019,25540,25725,2075,4024,2041,102,0,0,0,0,0",1
"101,11867,13355,2100,6579,3444,102,0,0,0,0,0,0,0,0",1
"101,2008,1005,1055,2061,22889,7361,8197,2135,2517,1998,3459,2008,2017,102",0
"101,15122,2090,2227,20771,5021,12354,1998,16016,11463,7716,14672,1010,2023,102",1
"101,23509,1011,2362,5312,102,0,0,0,0,0,0,0,0,0",0
"101,1010,12382,1998,4942,14028,3512,22000,102,0,0,0,0,0,0",1
"101,2009,2515,1050,1005,1056,3582,1996,26729,1010,3115,1010,7532,1011,102",1
"101,6057,2664,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,2058,4783,22397,1998,2058,1011,1996,1011,2327,102,0,0,0,0",0
"101,2009,1005,1055,2728,23929,2140,999,102,0,0,0,0,0,0",1
"101,4138,1998,5573,9866,102,0,0,0,0,0,0,0,0,0",1
"101,6051,1998,2856,1010,2009,1005,1055,3154,2008,2899,2087,5121,2038,102",1
"101,1999,3638,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,19416,2047,2028,102,0,0,0,0,0,0,0,0,0,0",1
"101,2664,2023,24665,5844,13398,102,0,0,0,0,0,0,0,0",0
"101,5223,2000,7697,2115,2159,2185,2013,1996,4871,2146,2438,2000,3191,102",1
"101,2804,2000,7419,2028,1997,1996,5409,4486,1999,3522,21014,2381,102,0",0
"101,1010,2023,5907,1011,14457,4038,2003,3227,3243,6057,1012,102,0,0",1
"101,3857,2070,13507,1010,14655,1005,7861,2000,1996,4258,2007,2017,2005,102",0
"101,2079,1050,1005,1056,2147,1999,4164,102,0,0,0,0,0,0",0
"101,1996,3257,2038,1037,8331,1010,2053,1011,14652,3691,1010,1998,1996,102",1
"101,2052,2031,4669,2009,2062,2065,2009,2018,2074,2908,2008,2028,3357,102",1
"101,2009,1005,1055,2205,8401,2000,2147,2004,1037,3538,1997,20957,1010,102",0
"101,12188,3797,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,3138,1037,4438,2466,1010,23942,8702,1998,10904,5889,1998,3594,1037,102",1
"101,3073,2049,10326,4355,26552,102,0,0,0,0,0,0,0,0",1
"101,10462,2205,7263,2000,2022,2170,2151,2785,1997,17743,102,0,0,0",0
"101,24665,2666,6767,2271,2021,102,0,0,0,0,0,0,0,0",0
"101,2044,2017,4756,2320,1006,2672,3807,1007,1010,2017,2097,2031,3294,102",0
"101,20625,102,0,0,0,0,0,0,0,0,0,0,0,0",0
"101,4895,28139,6528,20771,1010,11951,1010,21864,15952,1010,2434,102,0,0",1
"101,4172,2015,1998,14233,4059,2674,2037,2219,20677,2005,5760,2310,12032,102",0
"101,2200,2092,1011,2517,1998,2200,2092,1011,6051,1012,102,0,0,0",1
"101,2024,1050,1005,1056,2116,9530,23633,6998,1999,1996,2143,102,0,0",0
"101,22902,7982,1010,3082,1011,4375,3042,2100,1011,3110,15792,1010,102,0",0
"101,16481,1037,8403,13012,21031,2008,1010,6854,1010,2003,1037,2210,2205,102",0
"101,3288,14095,1012,102,0,0,0,0,0,0,0,0,0,0",1
"101,1996,2143,1005,1055,3054,1011,2000,1011,2659,5166,2003,12056,2011,102",0
"101,7545,1996,5372,10652,2000,2010,2535,2004,1006,4463,15803,1007,1012,102",1
"101,2004,1037,2402,2450,1997,2307,11084,1010,26161,1998,17610,102,0,0",1
"101,2045,1005,1055,2242,13433,25593,2055,2019,3063,1997,3938,1011,4606,102",1
"101,2074,2205,10021,102,0,0,0,0,0,0,0,0,0,0",0
"101,21014,14753,14753,2015,102,0,0,0,0,0,0,0,0,0",1
"101,2009,2003,4259,2135,4895,11263,10695,2100,1998,16655,10111,13320,24002,102",0
"101,1037,17133,1998,11973,7749,1997,2129,2714,17418,2015,2064,16083,1037,102",1
"101,20868,17728,4570,1998,102,0,0,0,0,0,0,0,0,0",0
"101,7859,102,0,0,0,0,0,0,0,0,0,0,0,0",0
"101,2061,2116,1997,1996,7860,2009,22382,2005,2993,2008,2028,2064,9641,102",1
"101,1010,2009,4240,2004,1037,2147,3085,3539,2099,2005,1996,2555,1005,102",1
"101,2898,1011,8300,2035,1996,2126,2083,102,0,0,0,0,0,0",1
"101,1006,15784,2135,1010,1045,2228,1007,102,0,0,0,0,0,0",0
"101,2003,2028,2502,8016,2000,2377,2028,24992,2094,3496,2044,2178,1012,102",0
"101,2003,4621,2065,2017,6293,2007,2009,102,0,0,0,0,0,0",1
"101,2008,2104,9363,2890,1996,5197,1997,2155,4535,1998,6904,4328,6632,102",1
"101,18058,2054,2009,10659,1024,1037,2298,2012,1996,1036,1036,3748,4536,102",1
"101,3666,2023,3617,1011,3896,1011,3082,1010,4011,2155,1011,5379,4038,102",0
"101,7078,1998,3294,9951,1998,102,0,0,0,0,0,0,0,0",0
"101,1005,1055,1037,2200,5510,3993,2600,1998,4897,3185,1012,102,0,0",1
"101,1996,3185,2003,2471,3294,11158,1999,23873,1010,4474,1998,8335,6832,102",0
"101,12689,13954,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,2004,2065,2667,2000,6723,1037,15116,1997,2377,1011,2079,2232,1010,102",0
"101,2092,1011,2245,28465,2030,102,0,0,0,0,0,0,0,0",1
"101,7657,2129,2590,2256,2569,11725,2064,2022,2043,2404,1999,2326,1997,102",1
"101,2053,5622,2912,4830,102,0,0,0,0,0,0,0,0,0",0
"101,1037,6160,4335,102,0,0,0,0,0,0,0,0,0,0",1
"101,1996,4872,1997,3617,24466,102,0,0,0,0,0,0,0,0",1
"101,2074,2028,2008,2071,4089,3524,2005,2115,3477,2566,3193,7922,102,0",0
"101,16114,1037,8900,12504,1997,1996,2331,3409,1997,24363,2462,1011,12170,102",0
"101,9313,4752,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,2031,1045,2464,1037,2143,2061,5627,2000,3410,1996,2991,13464,1997,102",1
"101,1010,2823,3376,6789,102,0,0,0,0,0,0,0,0,0",1
"101,2055,2004,5875,102,0,0,0,0,0,0,0,0,0,0",0
"101,2482,26658,2823,23328,2046,4942,1011,10225,25318,10140,2791,1012,1012,102",1
"101,2058,10052,1010,1998,5968,20875,102,0,0,0,0,0,0,0",0
"101,13819,1998,10654,4328,2135,102,0,0,0,0,0,0,0,0",0
"101,2087,8740,2850,18436,1010,25506,1010,102,0,0,0,0,0,0",1
"101,2012,2049,2190,5312,102,0,0,0,0,0,0,0,0,0",1
"101,6373,2153,2743,25607,2015,2049,8264,2005,1037,4248,1011,10131,8297,102",0
"101,2008,2345,1010,3376,3496,102,0,0,0,0,0,0,0,0",1
"101,2070,5691,11891,2017,1999,2750,2037,21407,1010,102,0,0,0,0",1
"101,20323,1010,19960,27822,1010,9251,1010,11680,1010,11382,10322,8838,2229,102",1
"101,1996,3291,2007,1996,2143,2003,3251,2122,19509,1010,21360,20782,1999,102",0
"101,1010,17075,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,16514,2135,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,1996,3861,3216,1037,8210,6391,2781,1010,2021,2009,1005,1055,2053,102",1
"101,2228,1997,2023,3899,1997,1037,3185,102,0,0,0,0,0,0",0
"101,1005,1055,9487,14385,1997,12720,4620,2008,2031,27788,5737,20255,4383,102",1
"101,2216,2061,1011,2061,3152,2008,2071,2031,2042,2172,2488,102,0,0",0
"101,1037,3413,3085,3058,2143,102,0,0,0,0,0,0,0,0",1
"101,10047,8528,1999,2460,102,0,0,0,0,0,0,0,0,0",1
"101,1045,5223,2009,1012,102,0,0,0,0,0,0,0,0,0",0
"101,1005,1055,8242,2438,1011,1011,1998,1051,18153,2075,2007,8702,2273,102",1
"101,2053,2028,2920,1010,3828,11454,1010,3065,1996,15989,26794,18679,2005,102",0
"101,1999,2023,13544,17837,3185,102,0,0,0,0,0,0,0,0",0
"101,26202,2015,1010,27895,2015,1010,3138,3670,6553,6105,102,0,0,0",1
"101,2066,2028,1997,1006,13957,1005,1007,2189,6876,1999,4180,1011,1011,102",0
"101,2007,3609,1998,5995,1010,1998,2738,1037,2204,2051,102,0,0,0",1
"101,10021,1010,25506,1010,13749,18595,3560,102,0,0,0,0,0,0",1
"101,2108,2583,2000,2718,2006,1037,2321,1011,2095,2214,2043,2017,1005,102",0
"101,1996,2466,1997,4390,2296,2154,1012,1012,1012,2003,2061,11080,2100,102",0
"101,1996,2095,1005,1055,2190,1998,2087,21446,4038,102,0,0,0,0",1
"101,4627,2125,2061,2919,2008,2017,2514,2066,2770,2041,7491,102,0,0",0
"101,2273,1999,2304,2462,6162,2015,7209,16021,23773,18513,6651,1011,1011,102",0
"101,3449,24093,4599,2071,6684,3198,2005,2062,1012,102,0,0,0,0",1
"101,1037,2204,2028,102,0,0,0,0,0,0,0,0,0,0",1
"101,1010,20228,7716,4667,3861,102,0,0,0,0,0,0,0,0",0
"101,1996,2839,16547,1010,2029,2196,3362,17087,15306,102,0,0,0,0",0
"101,2439,1999,1996,5449,2023,2051,102,0,0,0,0,0,0,0",0
"101,3713,2005,2009,2096,2009,2749,2017,2000,29211,2019,7974,2054,1037,102",1
"101,12939,21146,7512,2000,22149,7258,2119,2312,1012,1012,1012,1998,2235,102",1
"101,1037,5436,17176,3709,2362,2013,4321,4257,1998,4895,16748,8082,5312,102",0
"101,27118,2638,1998,9643,102,0,0,0,0,0,0,0,0,0",0
"101,2409,1999,7932,4827,102,0,0,0,0,0,0,0,0,0",0
"101,3138,9592,2008,2024,7782,2011,2996,4781,102,0,0,0,0,0",1
"101,2903,2009,2030,2025,1010,4463,2941,3138,1037,19978,1999,2010,2219,102",0
"101,2069,2518,2000,3571,2055,1036,1036,3571,11089,4012,1005,1005,102,0",0
"101,2878,6752,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,9020,2000,1999,25608,2063,1996,6857,4130,2000,22941,16088,2007,16121,102",1
"101,2551,2013,1037,10889,7591,5896,2522,1011,2517,2011,27699,23500,17083,102",1
"101,1037,13746,8209,2007,6495,2066,1036,1036,2611,1999,3347,1001,1017,102",0
"101,5959,1996,4536,102,0,0,0,0,0,0,0,0,0,0",1
"101,2200,2210,2000,5587,3458,1996,2601,12018,2525,8846,2098,2011,21688,102",0
"101,1996,1010,2748,1010,10879,1011,2066,15732,102,0,0,0,0,0",0
"101,2019,5186,16010,2143,1012,102,0,0,0,0,0,0,0,0",0
"101,2065,2009,2003,1050,1005,1056,4498,2566,6342,21369,3726,1010,2009,102",1
"101,1996,2878,6771,1010,2995,2466,2030,2025,1010,5683,11757,7570,14839,102",0
"101,2024,2035,2477,2057,1005,2310,2464,2077,102,0,0,0,0,0",0
"101,13433,25593,1998,2681,7228,102,0,0,0,0,0,0,0,0",1
"101,16701,11162,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,6022,2488,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,2004,21425,2004,1996,22487,102,0,0,0,0,0,0,0,0",0
"101,2022,29602,4063,15787,8235,1998,14036,102,0,0,0,0,0,0",1
"101,2009,1005,1055,5744,1998,2658,102,0,0,0,0,0,0,0",1
"101,1010,14477,4757,24270,1010,15144,102,0,0,0,0,0,0,0",0
"101,1996,5469,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,1037,10892,21688,2143,102,0,0,0,0,0,0,0,0,0",1
"101,1996,3893,2689,1999,4309,2182,3849,2000,2031,28667,8167,5999,2032,102",1
"101,12778,17300,14822,2000,2735,2696,16558,5130,1998,3786,26536,25555,1010,102",1
"101,1037,11737,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,1010,13925,1998,18691,102,0,0,0,0,0,0,0,0,0",0
"101,2138,2002,4490,2061,27243,2035,1996,2051,102,0,0,0,0,0",0
"101,2000,1037,20504,2166,2061,17170,6562,2008,2130,27987,2100,6001,2089,102",1
"101,1005,1055,2012,2320,4756,3085,1998,4012,14289,4877,14547,3422,3085,102",1
"101,7857,2049,9800,1011,3371,3091,102,0,0,0,0,0,0,0",1
"101,1996,3643,1998,4847,2005,1996,2744,8680,5988,102,0,0,0,0",1
"101,2004,1037,24385,1005,1055,3403,2282,102,0,0,0,0,0,0",0
"101,4760,7481,6699,102,0,0,0,0,0,0,0,0,0,0",1
"101,29350,20342,1012,102,0,0,0,0,0,0,0,0,0,0",0
"101,21444,2089,2025,2022,1037,19647,16012,102,0,0,0,0,0,0",0
"101,3849,1037,15640,2135,4857,14704,1997,2896,1011,2465,2414,2166,1025,102",0
"101,1996,2466,2003,22132,2271,1998,102,0,0,0,0,0,0,0",0
"101,2023,5021,17070,2003,2004,26380,2004,2009,2003,13819,1012,102,0,0",1
"101,2000,8622,6870,102,0,0,0,0,0,0,0,0,0,0",1
"101,9200,2004,1996,21146,14075,3617,5855,102,0,0,0,0,0,0",0
"101,3305,1996,4489,2090,12873,4569,1998,2074,5810,12873,102,0,0,0",0
"101,6964,14336,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,10424,8524,2003,1050,1005,1056,2008,2172,2367,2013,2116,1037,5365,102",0
"101,2515,2391,1996,2126,2005,29118,2796,16587,2646,1037,16335,2046,3904,102",1
"101,2024,4276,1996,3976,1997,9634,1012,1012,1012,2065,1036,1036,2175,102",1
"101,2001,2550,2011,6128,7987,12722,18826,1998,2856,2011,8963,22253,1010,102",0
"101,27450,1998,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,26131,1010,27291,10503,6965,2678,1011,11503,8333,102,0,0,0,0",0
"101,2117,15888,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,2055,1996,26272,1997,23105,3012,2008,2003,2993,102,0,0,0,0",0
"101,4240,2004,8285,1011,16218,1010,1998,2049,18856,18163,9961,2004,2049,102",0
"101,6945,6313,5046,5378,2029,5064,1055,2532,15567,2019,7436,6488,1012,102",0
"101,1010,14631,19361,2003,5866,2021,6854,2036,29348,1012,102,0,0,0",0
"101,1037,2358,8516,4509,6912,102,0,0,0,0,0,0,0,0",1
"101,8576,2083,2023,3861,1045,2001,2927,2000,5223,2009,102,0,0,0",0
"101,1037,16437,2061,3733,2009,6645,2006,6904,6895,2571,102,0,0,0",0
"101,1037,12246,9643,3185,102,0,0,0,0,0,0,0,0,0",0
"101,3138,2907,1998,24758,2524,102,0,0,0,0,0,0,0,0",1
"101,2298,15488,14644,2100,1998,14819,2854,1010,2000,1996,2391,1997,14836,102",0
"101,1996,3861,1005,1055,17160,2011,14035,102,0,0,0,0,0,0",1
"101,4409,1010,21910,7699,6361,7761,2840,1010,4487,11493,2618,28183,2668,102",0
"101,21986,9096,1010,11116,17900,102,0,0,0,0,0,0,0,0",0
"101,2084,2023,6752,102,0,0,0,0,0,0,0,0,0,0",0
"101,9340,2229,13013,1010,25180,3238,1998,7680,13876,8918,5460,102,0,0",1
"101,13554,1998,7609,2000,4366,2395,21553,1012,102,0,0,0,0,0",1
"101,2202,2729,2003,19957,2864,2011,1037,18109,1997,19910,1010,102,0,0",1
"101,7070,7696,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,1999,2053,2235,2112,4283,2000,21360,102,0,0,0,0,0,0",1
"101,2048,4364,2040,9652,2215,2000,2022,15969,10225,25318,2043,2027,4982,102",0
"101,2053,2047,5436,13120,2015,102,0,0,0,0,0,0,0,0",0
"101,7687,1037,3074,1997,9017,1011,1011,102,0,0,0,0,0,0",0
"101,2515,1050,1005,1056,8945,3207,2092,2005,1996,2717,1997,2009,102,0",0
"101,8319,2011,2009,1011,1011,1996,2785,1997,3185,102,0,0,0,0",1
"101,5156,5409,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,6621,3946,1010,2040,2038,1037,2204,2240,1999,11084,102,0,0,0",1
"101,7180,2220,1998,2994,2397,102,0,0,0,0,0,0,0,0",1
"101,2003,1037,6090,1011,2137,3185,1010,2007,5312,1997,10218,12369,2046,102",1
"101,1045,2071,2031,2109,2026,2048,2847,2488,3666,2108,2198,15451,28195,102",0
"101,2915,1999,2396,3993,1010,28259,12623,1997,2630,1010,2665,1998,2829,102",1
"101,2019,27776,15265,7716,11636,2210,2143,15587,4114,4126,2466,2008,2950,102",1
"101,6196,9706,21297,2497,102,0,0,0,0,0,0,0,0,0",1
"101,6051,2011,12082,4644,1998,2957,16216,2890,1012,102,0,0,0,0",1
"101,13594,2102,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,2019,4914,2135,3054,14423,2143,102,0,0,0,0,0,0,0",1
"101,2205,11320,14808,13288,102,0,0,0,0,0,0,0,0,0",0
"101,1996,2600,1005,1055,3554,4813,2024,2062,1999,2240,2007,7112,2712,102",1
"101,4138,1998,2440,102,0,0,0,0,0,0,0,0,0,0",1
"101,4010,2300,2104,1037,2417,2958,2003,1037,7401,1997,12320,2943,1010,102",1
"101,2008,3594,1037,8742,2389,1010,2613,1011,2166,3708,1011,2301,4126,102",1
"101,1010,2188,3185,2097,2681,2017,5782,2062,1010,2025,2000,5254,2975,102",1
"101,1010,1996,2143,14567,2572,5638,25698,7368,2008,2191,2009,2092,4276,102",1
"101,11087,1011,18178,2229,2100,7982,102,0,0,0,0,0,0,0",0
"101,2794,5995,1998,17011,102,0,0,0,0,0,0,0,0,0",1
"101,1996,8742,2389,102,0,0,0,0,0,0,0,0,0,0",1
"101,4121,1011,3898,4289,2000,2191,2019,2214,1011,13405,3267,2143,2008,102",1
"101,8502,2021,4895,3993,8873,13112,23873,3689,102,0,0,0,0,0",0
"101,1005,1055,2025,2200,2204,2593,1012,102,0,0,0,0,0,0",0
"101,1999,2014,2087,11084,3238,102,0,0,0,0,0,0,0,0",0
"101,3084,2019,5866,2021,27726,20161,2834,2369,1996,4950,1012,102,0,0",1
"101,1037,2986,1010,20996,18161,1010,1043,1011,6758,2155,2143,1010,6461,102",1
"101,2673,2055,3057,6187,1050,1005,1056,9880,1010,2130,2049,13768,1997,102",0
"101,1996,3459,2003,3962,2006,1998,102,0,0,0,0,0,0,0",1
"101,9200,3617,2678,102,0,0,0,0,0,0,0,0,0,0",0
"101,2064,2069,2293,1996,2867,2009,7545,2000,1996,18921,2005,1996,12785,102",1
"101,2738,24494,7685,102,0,0,0,0,0,0,0,0,0,0",0
"101,4150,2028,2062,12873,2152,2082,4038,2055,3348,18201,2015,1998,20877,102",0
"101,7670,1998,8267,6581,4616,102,0,0,0,0,0,0,0,0",1
"101,22038,2595,2003,1037,8479,1997,4748,7389,11475,2078,1010,102,0,0",1
"101,5760,9686,17695,2964,102,0,0,0,0,0,0,0,0,0",1
"101,3443,1037,2143,2008,1005,1055,2025,6414,2055,10209,17315,1008,1008,102",1
"101,2055,2293,1998,3226,102,0,0,0,0,0,0,0,0,0",1
"101,2003,4788,1024,102,0,0,0,0,0,0,0,0,0,0",0
"101,7570,18752,14116,102,0,0,0,0,0,0,0,0,0,0",0
"101,9587,14287,2015,2014,19817,18655,3111,1999,2797,102,0,0,0,0",0
"101,1996,2895,5019,2024,9996,5359,102,0,0,0,0,0,0,0",0
"101,2009,1005,1055,2061,2919,102,0,0,0,0,0,0,0,0",0
"101,2061,2919,102,0,0,0,0,0,0,0,0,0,0,0",0
"101,1010,6391,2781,2003,2460,102,0,0,0,0,0,0,0,0",1
"101,4830,11362,2015,2035,2105,1010,2196,8550,2172,11071,102,0,0,0",0
"101,1037,17743,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,1037,2843,2000,2079,2007,1996,9179,1997,24696,8026,23555,2004,5472,102",1
"101,2515,1050,1005,1056,2681,2017,2007,2172,1012,102,0,0,0,0",0
"101,2204,3772,102,0,0,0,0,0,0,0,0,0,0,0",1
"101,2066,2087,1997,14855,23296,5358,1005,1055,3152,1010,2070,1997,2009,102",1
"101,16266,3567,5602,1005,1055,17900,1010,1998,18062,2061,2099,26531,1005,102",0
"101,2003,2625,3144,2006,2060,3798,102,0,0,0,0,0,0,0",0
"101,1005,1055,2145,3243,4276,3773,102,0,0,0,0,0,0,0",1
"101,9414,1998,3048,1012,102,0,0,0,0,0,0,0,0,0",1
"101,2002,3544,13736,2802,2004,2002,25430,27609,2015,2083,2010,5019,102,0",0
"101,2273,102,0,0,0,0,0,0,0,0,0,0,0,0",1
"101,14570,2054,2261,25815,2064,102,0,0,0,0,0,0,0,0",1
"101,1037,18856,16814,2100,2694,1011,3185,3921,2000,17555,1037,3127,1999,102",0
"101,1045,1005,1049,2025,2469,2029,2431,1997,5202,14151,2003,4788,1024,102",0
"101,4654,26415,15172,1010,6057,1998,4569,1012,102,0,0,0,0,0",1
"101,5391,2000,5574,2000,2308,2559,2005,1037,22298,2135,11669,2100,2051,102",1
"101,1010,2009,2196,3243,3084,1996,3694,2004,11937,21724,2854,11669,1012,102",0
